,anonymous_id,md5,ontology_id,class,perspective,location,relation_type1,relation1,relation_type2,relation2
6983,cf2054f9-8b69-4b0d-982b-e490bd28e862.avi,70ab5ef194cafb97b200739507a753c4,28,Bowling,back,indoors,On,WoodFloor,,None
7016,dce05441-4a03-49a2-92d4-9b3ae38874ea.avi,038e296f631f992f7ee7602587612b57,28,Bowling,back,indoors,On,WoodFloor,,None
107,24c1dcb8-03fe-47d0-9b54-49b8b1c12745.mp4,3b2cc3ec01f578adcbb9c60215cfeca2,28,Bowling,back,indoors,On,WoodFloor,,None
6979,d9d09951-c25d-4c87-8c1a-db677cc6d866.avi,4ac1f7fa362c617c51d4539586ae21bd,28,Bowling,back,indoors,On,WoodFloor,,None
7005,c7cad741-7a74-412d-98d4-cd110bf3676d.avi,7c3b5677e8a8250fb638271a777dc6d6,28,Bowling,side,indoors,On,WoodFloor,,None
6990,63b54c3a-8d0a-4c58-ad0e-e3a5ad0a5d55.avi,8a879a8640dd68cf98d70b41dbe317f4,28,Bowling,side,indoors,On,WoodFloor,,None
6996,c3966531-3afc-42c6-8cde-5e962d406d52.avi,9ddb98171e275c3ee158ad2add453835,28,Bowling,back,indoors,On,WoodFloor,,None
6955,27bdce61-a2cd-4fac-8e7a-759fdbf56d7b.avi,d2f377131422d760581693e7f02f678e,28,Bowling,back,indoors,On,WoodFloor,,None
3863,49bcc510-b073-493a-9790-6d2ab7945082.avi,a8c7b86be511956a75b39ef9d33de5c1,28,Bowling,back,indoors,On,WoodFloor,,None
3846,418167ae-2e0b-41b1-9f9d-ebd291895d7b.avi,dc2aad2f6b54eb3143c92edc7ed96b22,28,Bowling,back,indoors,On,WoodFloor,,None
132,215b298e-15ba-4b56-bce1-ed16251d7a5f.mp4,92f64177488826762ea4df4db3ee54c3,28,Bowling,side,indoors,On,WoodFloor,,None
3848,a4b1bf1f-ea42-418b-97c4-cbfaa418c025.avi,6c07509f2c5ef54db213d8816726b64e,28,Bowling,back,indoors,On,WoodFloor,,None
7018,3dbb91c8-9394-4e3b-90f8-47d1734d6b03.avi,419bd55a004b0e6d702a0b9718662b18,28,Bowling,back,indoors,On,WoodFloor,,None
3852,f1740746-3f6b-4b20-956b-872435f9ef3a.avi,bcdb5feaca65617733f8464f974d7bf4,28,Bowling,back,indoors,On,WoodFloor,,None
101,92a92976-c8c7-4a35-8859-32f6319d8c89.mp4,99fe83daca516411f70bb11cd0775b43,28,Bowling,side,indoors,On,WoodFloor,,None
105,e3b89535-4e29-4e2f-a0c9-c90d0a58c628.mp4,49241a4908650c7d132f1a93f0cba2f7,28,Bowling,back,indoors,On,WoodFloor,,None
3847,1da4ece9-b9df-4c63-9716-54be5606ee9c.avi,fcc3dee2df5187083519edbe6b1f5a51,28,Bowling,back,indoors,On,WoodFloor,,None
7001,deb2fa7d-4569-43dd-8356-ee296467b2e4.avi,258c6e5a064c247dfb27a599a8bd83d7,28,Bowling,side,indoors,On,WoodFloor,,None
8592,23da60d1-013c-4607-8b37-7bc92e012c3c.avi,f2d917d9e0835e51a70475ae15e29355,28,Bowling,back,indoors,On,WoodFloor,,None
8589,f823bbb6-57fc-4c42-837c-647806f72cb9.avi,172ff3ecc18078f88ad64e91170ab6f8,28,Bowling,back,indoors,On,WoodFloor,,None
7003,ae5fcfe5-e409-4378-8b15-5b8857da4062.avi,1b914979a7de75effc2e841400cf6edc,28,Bowling,back,indoors,On,WoodFloor,,None
3854,a284840e-5896-4164-bde2-ba002e0c74e0.avi,3936f1dc48609840d6d64faae942a2fd,28,Bowling,back,indoors,On,WoodFloor,,None
3850,d8781178-cf3f-4f04-995e-d0d6b77c1de2.avi,3de91afd1cc5e7c30da452ce6d782330,28,Bowling,back,indoors,On,WoodFloor,,None
7045,f5ac9317-c81b-4560-b308-3c4cd9c8d33d.avi,ffb62b993eb4a6b3d00c270e3738df3a,28,Bowling,back,indoors,On,WoodFloor,,None
3822,f1934663-8b29-437e-9c07-a740e586ec42.avi,491418c1cd4ec12b76607d5d50528854,28,Bowling,back,indoors,On,WoodFloor,,None
6958,aaccbffc-6d47-43d8-a4bf-48358d90c10f.avi,d91e89023b1e60adabbcf0b6171f02bb,28,Bowling,back,indoors,On,WoodFloor,,None
3858,4881a7d7-ecc9-4be0-addb-0b2437819a9e.avi,0c3f68be00583abc0a2972532794ba2f,28,Bowling,back,indoors,On,WoodFloor,,None
7034,b0226090-b1cc-4939-af37-6201f1cdd715.avi,97516c83ac532b61c31534486bfa17a0,28,Bowling,side,indoors,On,WoodFloor,,None
7036,5975bb8b-fc3e-4b01-abf4-2e55807204b1.avi,aef7e677f844d23f0f782d19323288f4,28,Bowling,side,indoors,On,WoodFloor,,None
6976,25695494-bcbb-42f9-9ddc-35c45db7e344.avi,e17f7e809bb17e3967cff3bf1a77855a,28,Bowling,back,indoors,On,WoodFloor,,None
129,f364eb56-78cf-4ab7-9c54-68bfb7bc7cd1.mp4,7fa99a69d253166d13f0acc35704dacc,28,Bowling,back,indoors,On,WoodFloor,,None
7008,02dff054-dab4-45c7-aaa4-745388c3f99f.avi,7f945c84e39b26e95a2935139d3c366f,28,Bowling,back,indoors,On,WoodFloor,,None
7044,7ae41fe8-b8cd-4a51-81d5-b6a5fd5350b9.avi,f40bb977a3f946e4279b450e87836ab1,28,Bowling,back,indoors,On,WoodFloor,,None
7021,9091ca9c-ac56-4d07-acc9-7bb22d2499cd.avi,8e58c6d4896bfbc61904e4af4b4b4008,28,Bowling,back,indoors,On,WoodFloor,,None
3827,f823fb4c-0b91-4770-82e1-88384bb7e134.avi,0315124a68996ccfcd735ad956c2338d,28,Bowling,back,indoors,On,WoodFloor,,None
7026,57bcfca1-cc41-4da1-a886-9dad77111c1f.avi,61963729f77da481c2d20268bb651d66,28,Bowling,back,indoors,On,WoodFloor,,None
131,44342cdb-a4cd-4d9d-9b3d-78d5fe264f5c.mp4,94a6d570d40c391131e09791a79f7bc4,28,Bowling,back,indoors,On,WoodFloor,,None
6988,bea97635-0d26-4c69-bbc1-18a1813dfb49.avi,2e03d6b1be181ba9e2a2d95b3559a640,28,Bowling,front,indoors,On,WoodFloor,,None
6971,2e8ca987-394e-42bf-8771-897e1fd158a9.avi,c10fa1c1137ac1c38cab129a0b621128,28,Bowling,back,indoors,On,WoodFloor,,None
97,faee3b04-0de6-46e8-9aa5-dab427d6b45e.mp4,ffe226e8991cc44352c40198b7e22733,28,Bowling,back,indoors,On,WoodFloor,,None
136,6199a6ae-5e09-4c52-98ee-e73c89d111c9.mp4,76d9b573d9f8c02f42a2ee6e9802c458,28,Bowling,back,indoors,On,WoodFloor,,None
6982,e0481657-a19d-4137-a123-940c7cc56415.avi,f0e873f1cd4880b535ab0359c75d2ab3,28,Bowling,back,indoors,On,WoodFloor,,None
125,886fd4df-0ee3-4c7d-b995-62b75477ef33.mp4,96cc64cf6baaebe49bb315b3f53de192,28,Bowling,back,indoors,On,WoodFloor,,None
6962,36bf71c5-07f6-4dcd-8a1f-d5f5f9c23371.avi,672f0a94eb998d34400189a66fe44dfa,28,Bowling,back,indoors,On,WoodFloor,,None
3833,2a72d31c-2f5e-4d59-bca9-c5da40217597.avi,ccec22788c486e40f379c1cbbf789a68,28,Bowling,back,indoors,On,WoodFloor,,None
7040,1e77fc06-a93f-422c-955b-c84dc35812df.avi,488685e66293fb60d75fb485008ae47c,28,Bowling,back,indoors,On,WoodFloor,,None
3857,48407011-b5fd-48b8-9189-4192202e2702.avi,4191b20001f9aaf2cf79ba6403406ccf,28,Bowling,back,indoors,On,WoodFloor,,None
3851,c64769b0-5bdd-4dd1-b2a8-4ad6c56a2b96.avi,63102a372493af77b5b19c7b89a42321,28,Bowling,back,indoors,On,WoodFloor,,None
6963,0106fbfb-59fe-4b08-83c1-cf4deba99630.avi,70f9ce25a64ddd77bda59e3f23fe8187,28,Bowling,back,indoors,On,WoodFloor,,None
3838,b4d64f87-a27f-41bc-adc3-8e9dfb2255c3.avi,979365ba8509f2f631f1c86ff4b6cb14,28,Bowling,back,indoors,On,WoodFloor,,None
6995,88cd761a-5e6b-4081-9e57-4ab5d3fd5006.avi,0c6d17affe8c1779852e00ef497dc487,28,Bowling,back,indoors,On,WoodFloor,,None
3849,d72ef037-d1aa-45a3-bdc2-033d4e4350f9.avi,e4bbeb17660f2ba9447dd5037517d6fd,28,Bowling,back,indoors,On,WoodFloor,,None
6977,3c29c77b-92a4-44f8-8252-8dd02be8130a.avi,fcd9074631ebfd87d2c1dac4d0cf7bea,28,Bowling,back,indoors,On,WoodFloor,,None
114,e8b2247b-fffd-44f9-915f-94b79476e7e2.mp4,ea977f1fa9336f75e5adf438d322a9be,28,Bowling,back,indoors,On,WoodFloor,,None
7000,de77ade8-68fc-40c2-84d9-59e4d4129f14.avi,0599909025c1e1619e11639c700b8b75,28,Bowling,back,indoors,On,WoodFloor,,None
3842,b13757e3-8d81-48fd-bd05-695a521a02c4.avi,9362c418281061552d4e795e411d2654,28,Bowling,back,indoors,On,WoodFloor,,None
138,90d40c3f-9101-48fe-a17e-d954b0d8a2dc.mp4,a113e6e524d54faddd189f4b7e9093ec,28,Bowling,back,indoors,On,WoodFloor,,None
6970,fb9d6d63-e606-464b-835d-69ebc7810e7e.avi,46fa9f4d255590883d65349ff4ac5e2b,28,Bowling,back,indoors,On,WoodFloor,,None
6981,bdbf5d0b-a9c7-439a-9ebe-2e1afb1c8cfc.avi,3fccced7dfd130b4f888edc444a43d05,28,Bowling,back,indoors,On,WoodFloor,,None
7012,abbc6727-51a9-41cb-bb07-ba2a6dd076b4.avi,a2aaff02066632d1541b813fe5da235f,28,Bowling,back,indoors,On,WoodFloor,,None
6994,2d956376-0e5d-4122-a3e6-e602bcdb4302.avi,1e79ce7b63f1a32e2223c67cc1271c1a,28,Bowling,back,indoors,On,WoodFloor,,None
3834,bec4cd63-3e23-4b1d-87cd-0d66791b309d.avi,9522c6119ea75f7b2e3c62d0ee8b7bcc,28,Bowling,back,indoors,On,WoodFloor,,None
3859,850ea785-850f-4e58-afb8-11ee93776cb0.avi,942b23412bf312b9163a0b05f702cdc0,28,Bowling,back,indoors,On,WoodFloor,,None
6974,a48853dd-db5b-42b0-a504-8dd437147903.avi,16348b2038c98dfda0db606a379021df,28,Bowling,back,indoors,On,WoodFloor,,None
7028,c4c9d18f-c5c7-4474-b204-494bab5381be.avi,d0be02a414456bd5fabae62d3fce1253,28,Bowling,back,indoors,On,WoodFloor,,None
106,f5c35f0e-50cd-45f4-b682-b1984755136a.mp4,8eead094d5302107fa1c742082750e51,28,Bowling,back,indoors,On,WoodFloor,,None
3826,992fea95-af97-48ed-94ca-2eb7615f04b6.avi,38d3ee174ce431dd48bd5f36ff452323,28,Bowling,back,indoors,On,WoodFloor,,None
6987,f9a27dc6-1ec6-40f3-bf7c-7db6241a264d.avi,304fbd75cc7726a2af250e26795beaa6,28,Bowling,back,indoors,On,WoodFloor,,None
6967,90caeda4-cabf-4d65-aab0-cbeb280b585a.avi,45c519f33e748deeae5b63c10865263f,28,Bowling,back,indoors,On,WoodFloor,,None
3865,f208edbb-af2f-454a-97b6-0f7797c9b42d.avi,942c3ffcc6666dac1346201d400eee41,28,Bowling,back,indoors,On,WoodFloor,,None
7024,3e1d8139-5898-450a-a460-0c6880d1b8a4.avi,b8e8426a2c4f6a94d83fcad6faebcf64,28,Bowling,back,indoors,On,WoodFloor,,None
3844,aa996de9-4990-42c0-bdde-85730662fcfe.avi,d55e775fb173e5a7c42abb7fa7c2d8ec,28,Bowling,back,indoors,On,WoodFloor,,None
116,8d19121f-f692-43e8-8908-faf06b01268b.mp4,28e8e83aaadfc27f24bd94989fcdb405,28,Bowling,side,indoors,On,WoodFloor,,None
7019,f16daa29-f757-4979-ba8b-46b3acf77e5c.avi,ea3651eaf07e469effdf4b94ff7dffa8,28,Bowling,back,indoors,On,WoodFloor,,None
7017,95eee3a8-b8c9-4c66-a331-ede432c44771.avi,e8ad7327796bd5ded06c0f70b6c3ca2d,28,Bowling,back,indoors,On,WoodFloor,,None
6975,101bd2e0-a561-4043-88f6-c4df37f6b959.avi,efa3f84421c81b2c3f36ffe46b303116,28,Bowling,back,indoors,On,WoodFloor,,None
6998,7a874886-23ad-49b5-8570-6b486f2358ce.avi,2c06da43d5c857dbc6632e3ec72bd59a,28,Bowling,back,indoors,On,WoodFloor,,None
109,a479521b-255f-4fe6-adca-8703c802f363.mp4,1448d70d03b6d7b08a8b7cc107f62f2e,28,Bowling,back,indoors,On,WoodFloor,,None
6964,f6d01775-6aac-48a7-b9cf-447b109e3926.avi,5a7281949847d041060e1e41f51e07e8,28,Bowling,back,indoors,On,WoodFloor,,None
123,1f68dee5-b7a4-4c11-8796-7dd70d5bfa08.mp4,d5cd60a36ed6a06c65b97eb640966ddd,28,Bowling,back,indoors,On,WoodFloor,,None
7039,4b6f0be8-de1b-47fb-8c92-8b3f2740d94c.avi,73fc55c3a36299a19b781e4201dea98f,28,Bowling,back,indoors,On,WoodFloor,,None
3832,500a8309-2617-4f1c-8546-c6ac215bf6bf.avi,bbfd0e6d3efc12e6e5bf4ade97a08196,28,Bowling,back,indoors,On,WoodFloor,,None
7030,7b07168b-ee41-4b72-8cf6-51999c414022.avi,b77bc155301089d7fc176a7c2e723680,28,Bowling,back,indoors,On,WoodFloor,,None
127,63bca8bb-8dcb-4947-9cca-a560ca0b857a.mp4,f669513edb374df2bbb455c1770bd9b8,28,Bowling,back,indoors,On,WoodFloor,,None
117,b5e676fa-280f-4190-af82-7b519587d047.mp4,2059010de35aa28b47307de7dfa5d358,28,Bowling,back,indoors,On,WoodFloor,,None
7032,3c4d40dc-62a1-44b5-92a8-8eb2f00b2b7f.avi,82bf57994438344ebe441b1ae547c586,28,Bowling,side,indoors,On,WoodFloor,,None
7035,fdbcb1d6-3fbb-4a31-b82e-0e48e1faa8a8.avi,ec44d08e165763c5a6893a1512ef903d,28,Bowling,back,indoors,On,WoodFloor,,None
3818,fb4b250b-d173-4d5f-bdb6-0a3b4c924648.avi,7b6e37358c649b2904087572844686ba,28,Bowling,back,indoors,On,WoodFloor,,None
126,e76c3ffe-85e0-4942-9abf-f8baa26852e0.mp4,5334ae6ed0cdf420a47f91add9089a9d,28,Bowling,back,indoors,On,WoodFloor,,None
121,c181ae56-c1fd-4b45-9889-b58219f6d718.mp4,8167cccfc4494421fd82b8a21effd53d,28,Bowling,back,indoors,On,WoodFloor,,None
7043,cc768001-1501-42c5-8a85-164f19ac7b76.avi,6601a605e3b57db317fac01e9976ccc6,28,Bowling,back,indoors,On,WoodFloor,,None
8591,340babba-88dd-4b89-ae96-b020de7b17f9.avi,276d4010db68392569c53a37084224cd,28,Bowling,back,indoors,On,WoodFloor,,None
6992,097ebd66-2365-40a9-8e1e-e08314298829.avi,505bc460b056e5f642a38b41bf53add9,28,Bowling,back,indoors,On,WoodFloor,,None
104,15594d06-9eee-476e-b944-b98e792bd26f.mp4,9e8d6d5b7257c7058c1304895f7dbc37,28,Bowling,side,indoors,On,WoodFloor,,None
3861,b1990b64-d0cd-4853-8dac-e2dfc38be3e6.avi,e19d9ac6ec72ffc816fcf8c20fffbd66,28,Bowling,back,indoors,On,WoodFloor,,None
3840,f54127e6-e736-4409-9c64-f108ea6bdfbd.avi,09a8943b5678bdaf722a199e99d44e2c,28,Bowling,back,indoors,On,WoodFloor,,None
3839,13bb0c69-8add-4028-a11c-d7bef01787eb.avi,d310b649bf20fbcb960dd6d0db5ea5d4,28,Bowling,back,indoors,On,WoodFloor,,None
118,408302b5-d017-45a3-84b7-e3aa24e928c4.mp4,7a33bbfa839aad66d4bf4b97464d8f55,28,Bowling,back,indoors,On,WoodFloor,,None
98,1517b490-46cd-4443-b809-4796856237ec.mp4,eab4868c9fa287331bc4debc5ad24b27,28,Bowling,back,indoors,On,WoodFloor,,None
6993,245de03a-39f0-49c2-a815-7ce1528eac85.avi,b1800696eeafe62fc524a1949ab7657a,28,Bowling,back,indoors,On,WoodFloor,,None
3820,46e73f2c-799f-4d75-a159-ec987a4f08bb.avi,9dc701f3c508a74021e5415d0ad450dc,28,Bowling,back,indoors,On,WoodFloor,,None
99,5a3feec3-41aa-46fa-a9cd-39f03840ca71.mp4,f3dd3dcc2ba92bdb6ec50a572a257e0e,28,Bowling,back,indoors,On,WoodFloor,,None
7020,2667c343-4140-490c-8eda-6443d7855426.avi,8ec927732c05573635a6db47914238e9,28,Bowling,back,indoors,On,WoodFloor,,None
120,dfafd080-cb1b-4ed3-9b24-749be610cccc.mp4,967b701adf7f98bbc74e3dae556cefbd,28,Bowling,back,indoors,On,WoodFloor,,None
6985,e74440e6-7688-4963-acae-1680a00c173c.avi,3f3f7c240a09be8a61993e62c3231c96,28,Bowling,back,indoors,On,WoodFloor,,None
3862,940f688a-4cd5-445b-af24-b4f6b33afcd0.avi,6805f17bc4a09d1467e7b16c5722506f,28,Bowling,back,indoors,On,WoodFloor,,None
7048,a351406f-dc11-4912-b53c-98c66613cdeb.avi,887d693220097f4edaa2f37b02b6b886,28,Bowling,back,indoors,On,WoodFloor,,None
3864,82fe01d7-d4d4-4c6b-84c2-49b07ed2aa52.avi,259f99f5869eca5868b55bd0215a3a84,28,Bowling,back,indoors,On,WoodFloor,,None
7038,47300a72-3878-4111-ba7b-73c6b01ed0e2.avi,0e103f75dfb588f07804989321c11f92,28,Bowling,side,indoors,On,WoodFloor,,None
7014,ef99aa15-d07e-4ad6-b986-249647c4764b.avi,f782291cc60d3465476e935cb0244cf1,28,Bowling,back,indoors,On,WoodFloor,,None
111,b1a78711-0678-41b6-a9b1-e0fb807391e0.mp4,658f7519b54ae61338a1ccef33eb5749,28,Bowling,back,indoors,On,WoodFloor,,None
6968,42b7826e-c028-4503-bb70-2fb898ccf7b2.avi,e083d7718d4d21ff422653bc484dd3dc,28,Bowling,back,indoors,On,WoodFloor,,None
7037,c621e7ee-6b72-4168-8203-9b78aeb0e849.avi,aa7d30dfd4184af6f99881930db380ed,28,Bowling,back,indoors,On,WoodFloor,,None
3830,c92f9605-4b51-400e-a5fe-4550ec1e3882.avi,78bf9babf9e2a99f31cf972a1fd833c8,28,Bowling,back,indoors,On,WoodFloor,,None
3828,a92a96cd-f541-4a00-8e25-64901f5f719c.avi,c65e38916431c5f14ab8bb144590f9a1,28,Bowling,back,indoors,On,WoodFloor,,None
112,7b159b8c-f1d5-4401-9afa-9031d396e6d8.mp4,3adad2d65cdd06ae227e6970d34511d6,28,Bowling,back,indoors,On,WoodFloor,,None
7025,240d1883-57ec-4568-81e6-ec4a8c62bd1f.avi,bc1bb247792317d8a0440dc182e7c29f,28,Bowling,back,indoors,On,WoodFloor,,None
3869,05e08e0e-488c-4683-b93e-e388ce8f11a0.avi,6aae6591edeaf2f4a1bdc4f870d4c644,28,Bowling,back,indoors,On,WoodFloor,,None
6960,1d564875-2199-4056-b99b-d5bb09dac8bc.avi,b9950c77923b4c6c7953383234168d58,28,Bowling,back,indoors,On,WoodFloor,,None
3868,0a2d50d3-eddb-4633-be6b-fdef7a9715b2.avi,2ffb0c222ea3a3b9df8d11957168db1e,28,Bowling,back,indoors,On,WoodFloor,,None
3866,ee13e12b-d92e-4f43-86fa-cd237223b194.avi,5c5ef4ada5260efbae71cfeddbc3f6b9,28,Bowling,back,indoors,On,WoodFloor,,None
7004,62ca889e-1fe9-4803-af58-dd006d1b7ae1.avi,125c934f8446eab7cafa31eda3ffb382,28,Bowling,back,indoors,On,WoodFloor,,None
119,7f321bb0-2f61-4f4c-a83d-d58e55f3414e.mp4,494b01d3a444d1c95ca84b9422a2f477,28,Bowling,back,indoors,On,WoodFloor,,None
3819,6c675ecc-b418-4123-922d-2540ef19d155.avi,49f29172f64a1291c4b7de883ee48e85,28,Bowling,back,indoors,On,WoodFloor,,None
6972,84c9b368-c6b2-4d8f-a7f9-4ac75a936cff.avi,17b4e6331cfe259682c002f6f4dcb4ac,28,Bowling,back,indoors,On,WoodFloor,,None
7047,e49d2c0d-a21b-4c08-ad1c-188fbd06fe11.avi,144b2fc79332abd09a6f24a77a65f4fe,28,Bowling,back,indoors,On,WoodFloor,,None
139,1acc9302-6aa1-4a9e-a344-344b506eaaf1.mp4,2d7a2bf8d8f3765ba9134d02f57f28f3,28,Bowling,back,indoors,On,WoodFloor,,None
6991,57bf3faf-1bb6-4295-bbaf-3704bfcd50b8.avi,a3104e7b7bd96c37d150e2783fc7f7da,28,Bowling,back,indoors,On,WoodFloor,,None
3831,b4568da5-1420-44b3-a482-cf3ac5b5e01b.avi,4d95a80b72f35981fd40db806b22c16a,28,Bowling,back,indoors,On,WoodFloor,,None
6986,2047619e-77ad-46fc-88e2-ef613f82cc65.avi,b5dc0db195556a0192694065ac5ad46c,28,Bowling,back,indoors,On,WoodFloor,,None
115,f3c08d33-d1f5-4a05-ad96-9885b61d3c9d.mp4,2a7f811ce1610ae3f52dead6eee897b8,28,Bowling,front,indoors,On,WoodFloor,,None
7033,4205a3be-a3a8-40b9-9883-14a245d59029.avi,a6c19b8c8b51f7c9e30b7762f3003312,28,Bowling,back,indoors,On,WoodFloor,,None
113,c82acae1-9abf-4802-ac16-0ef5462ea7b0.mp4,209ddf83c2dc1db138278f66b3033a9b,28,Bowling,back,indoors,On,WoodFloor,,None
3845,c41b45b2-152c-4311-a2c5-b9fca350d31d.avi,bb0aa2346d40cb3381b5884ed9bfad16,28,Bowling,back,indoors,On,WoodFloor,,None
3856,2c7cc503-be87-457a-9047-f53305e003aa.avi,338773c48820220552ce3d506d01daee,28,Bowling,back,indoors,On,WoodFloor,,None
134,1c09b79e-0b03-48ac-baac-e1c4ed3088ba.mp4,f6ca3c6856a4aa39341bf269596b911e,28,Bowling,back,indoors,On,WoodFloor,,None
3837,1269fd7d-63d0-4744-842c-895198095bf7.avi,a0f3f27f4539a87511cf117f32d56c3e,28,Bowling,back,indoors,On,WoodFloor,,None
3829,65609e0c-8be5-4485-8661-e431cbae823b.avi,603f6aeb1ea9c605f9ffe0358c9fcac3,28,Bowling,back,indoors,On,WoodFloor,,None
8593,f9339213-58f0-4b5d-88f8-d6022cd67b39.avi,f5fd0c8ba718dcfa2d9a9ab43e46b88d,28,Bowling,back,indoors,On,WoodFloor,,None
6984,00b79149-045b-431b-a0c6-a385588ead24.avi,b2cfd7a8004dacdf7e415bc03db40757,28,Bowling,side,indoors,On,WoodFloor,,None
6959,34773d65-94e8-479c-b204-be3f07831246.avi,fd21fd64fc4da4a01a8db703c52b3ff7,28,Bowling,back,indoors,On,WoodFloor,,None
6997,8d268c71-ed4c-4180-91c5-765d6508611b.avi,8f7eec82f15290f8b0fa234226898c11,28,Bowling,back,indoors,On,WoodFloor,,None
7022,7fc231eb-571f-416c-8240-afc80467ddf7.avi,82106e69cc191a4b54d2c42a4326c9ab,28,Bowling,back,indoors,On,WoodFloor,,None
7006,3d1ef0e1-5711-4e2e-a4bb-ed8e480d79e4.avi,87eb4cd4fd16ffd5e46f149dbe6853cd,28,Bowling,back,indoors,On,WoodFloor,,None
